
Network Parameters:
Training data: ./train.csv (7000 examples)
Testing data: ./test.csv (4000 examples)
Network structure: 64-25-10
Learning rate: 0.01
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.9201, 33.39, 33.27
2, 0.8322, 49.71, 48.83
3, 0.7662, 61.87, 60.90
4, 0.6877, 71.50, 70.47
5, 0.6082, 76.91, 76.50
6, 0.5355, 80.61, 79.77
7, 0.4744, 83.87, 83.17
8, 0.4249, 86.00, 85.17
9, 0.3850, 87.19, 86.72
10, 0.3527, 88.00, 87.65
11, 0.3264, 88.61, 88.28
12, 0.3048, 89.19, 88.75
13, 0.2869, 89.44, 89.35
14, 0.2718, 89.79, 89.80
15, 0.2589, 89.99, 90.05
16, 0.2478, 90.46, 90.30
17, 0.2381, 90.73, 90.58
18, 0.2294, 90.96, 90.72
19, 0.2217, 91.16, 90.85
20, 0.2148, 91.36, 91.10
21, 0.2085, 91.54, 91.15
22, 0.2027, 91.69, 91.40
23, 0.1974, 91.89, 91.53
24, 0.1926, 92.06, 91.62
25, 0.1880, 92.14, 91.83
26, 0.1838, 92.27, 91.92
27, 0.1799, 92.37, 92.03
28, 0.1762, 92.44, 92.10
29, 0.1728, 92.53, 92.12
30, 0.1695, 92.69, 92.22
31, 0.1665, 92.89, 92.40
32, 0.1636, 92.94, 92.40
33, 0.1608, 92.99, 92.38
34, 0.1582, 93.06, 92.42
35, 0.1557, 93.10, 92.50
36, 0.1534, 93.19, 92.53
37, 0.1511, 93.27, 92.67
38, 0.1489, 93.36, 92.80
39, 0.1469, 93.43, 92.77
40, 0.1449, 93.44, 92.85
41, 0.1430, 93.53, 92.97
42, 0.1412, 93.60, 93.10
43, 0.1395, 93.67, 93.12
44, 0.1378, 93.76, 93.20
45, 0.1362, 93.79, 93.25
46, 0.1346, 93.86, 93.40
47, 0.1331, 93.91, 93.45
48, 0.1317, 93.99, 93.47
49, 0.1303, 94.00, 93.58
50, 0.1289, 94.07, 93.62
51, 0.1276, 94.11, 93.70
52, 0.1264, 94.19, 93.70
53, 0.1252, 94.23, 93.70
54, 0.1240, 94.29, 93.73
55, 0.1228, 94.33, 93.73
56, 0.1217, 94.34, 93.75
57, 0.1206, 94.41, 93.77
58, 0.1196, 94.44, 93.83
59, 0.1185, 94.46, 93.90
60, 0.1175, 94.49, 93.85
61, 0.1166, 94.49, 93.85
62, 0.1156, 94.53, 93.90
63, 0.1147, 94.60, 93.92
64, 0.1138, 94.66, 94.00
65, 0.1129, 94.71, 94.05
66, 0.1121, 94.73, 94.05
67, 0.1113, 94.76, 94.08
68, 0.1104, 94.76, 94.10
69, 0.1097, 94.80, 94.20
70, 0.1089, 94.84, 94.23
71, 0.1081, 94.91, 94.27
72, 0.1074, 94.94, 94.33
73, 0.1067, 95.00, 94.35
74, 0.1059, 95.03, 94.42
75, 0.1053, 95.06, 94.42
76, 0.1046, 95.13, 94.45
77, 0.1039, 95.14, 94.50
78, 0.1032, 95.16, 94.50
79, 0.1026, 95.20, 94.53
80, 0.1020, 95.24, 94.53
81, 0.1014, 95.27, 94.50
82, 0.1008, 95.29, 94.55
83, 0.1002, 95.31, 94.53
84, 0.0996, 95.31, 94.55
85, 0.0990, 95.31, 94.55
86, 0.0985, 95.36, 94.55
87, 0.0979, 95.43, 94.58
88, 0.0974, 95.44, 94.58
89, 0.0968, 95.47, 94.58
90, 0.0963, 95.49, 94.60
91, 0.0958, 95.51, 94.58
92, 0.0953, 95.54, 94.58
93, 0.0948, 95.54, 94.60
94, 0.0943, 95.60, 94.60
95, 0.0938, 95.61, 94.60
96, 0.0933, 95.61, 94.60
97, 0.0929, 95.66, 94.62
98, 0.0924, 95.67, 94.62
99, 0.0920, 95.67, 94.65
100, 0.0915, 95.69, 94.67

