
Network Parameters:
Training data: ./train.csv (7000 examples)
Testing data: ./test.csv (4000 examples)
Network structure: 64-15-10
Learning rate: 0.05
Momentum rate: 0.0
Epochs: 100
Activation function: TANH

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.5407, 86.19, 85.85
2, 0.3305, 90.89, 90.48
3, 0.2707, 92.20, 91.15
4, 0.2450, 92.74, 91.90
5, 0.2276, 93.10, 92.35
6, 0.2153, 93.34, 92.40
7, 0.2066, 93.41, 92.45
8, 0.2005, 93.63, 92.45
9, 0.1956, 93.60, 92.55
10, 0.1914, 93.64, 92.75
11, 0.1878, 93.73, 92.80
12, 0.1844, 93.83, 92.83
13, 0.1815, 93.84, 92.85
14, 0.1791, 93.87, 92.77
15, 0.1770, 93.91, 92.77
16, 0.1752, 93.97, 92.90
17, 0.1734, 94.07, 92.90
18, 0.1716, 94.17, 92.90
19, 0.1700, 94.23, 92.90
20, 0.1686, 94.21, 92.92
21, 0.1674, 94.23, 92.90
22, 0.1664, 94.24, 92.90
23, 0.1654, 94.29, 92.90
24, 0.1645, 94.33, 93.00
25, 0.1636, 94.30, 93.05
26, 0.1623, 94.34, 93.12
27, 0.1588, 94.30, 93.17
28, 0.1557, 94.30, 93.17
29, 0.1539, 94.34, 93.17
30, 0.1526, 94.36, 93.15
31, 0.1516, 94.37, 93.12
32, 0.1507, 94.36, 93.15
33, 0.1500, 94.40, 93.20
34, 0.1493, 94.39, 93.10
35, 0.1487, 94.39, 93.03
36, 0.1481, 94.43, 93.08
37, 0.1476, 94.46, 93.03
38, 0.1471, 94.50, 93.03
39, 0.1466, 94.53, 93.03
40, 0.1461, 94.53, 93.05
41, 0.1457, 94.56, 93.00
42, 0.1453, 94.54, 93.00
43, 0.1449, 94.54, 93.00
44, 0.1445, 94.53, 93.00
45, 0.1442, 94.51, 92.95
46, 0.1438, 94.53, 92.95
47, 0.1435, 94.53, 92.95
48, 0.1432, 94.56, 92.92
49, 0.1429, 94.56, 92.92
50, 0.1426, 94.57, 92.92
51, 0.1423, 94.60, 92.92
52, 0.1420, 94.61, 92.95
53, 0.1418, 94.60, 92.97
54, 0.1415, 94.63, 92.97
55, 0.1413, 94.64, 92.95
56, 0.1410, 94.63, 92.97
57, 0.1408, 94.64, 92.97
58, 0.1405, 94.64, 93.00
59, 0.1403, 94.66, 93.03
60, 0.1401, 94.67, 93.08
61, 0.1399, 94.67, 93.08
62, 0.1397, 94.70, 93.08
63, 0.1395, 94.71, 93.05
64, 0.1393, 94.71, 93.05
65, 0.1391, 94.73, 93.05
66, 0.1389, 94.73, 93.05
67, 0.1387, 94.76, 93.05
68, 0.1385, 94.76, 93.03
69, 0.1383, 94.76, 93.00
70, 0.1382, 94.76, 92.97
71, 0.1380, 94.73, 92.97
72, 0.1378, 94.73, 92.97
73, 0.1377, 94.76, 92.95
74, 0.1375, 94.76, 92.92
75, 0.1374, 94.76, 92.92
76, 0.1372, 94.77, 92.92
77, 0.1371, 94.77, 92.92
78, 0.1369, 94.77, 92.92
79, 0.1368, 94.76, 92.95
80, 0.1366, 94.77, 92.95
81, 0.1365, 94.76, 92.95
82, 0.1363, 94.77, 92.95
83, 0.1362, 94.77, 92.95
84, 0.1361, 94.77, 92.92
85, 0.1359, 94.77, 92.92
86, 0.1358, 94.77, 92.92
87, 0.1357, 94.77, 92.92
88, 0.1356, 94.79, 92.88
89, 0.1354, 94.79, 92.88
90, 0.1353, 94.79, 92.88
91, 0.1352, 94.79, 92.88
92, 0.1351, 94.79, 92.88
93, 0.1350, 94.80, 92.88
94, 0.1348, 94.80, 92.88
95, 0.1347, 94.83, 92.88
96, 0.1346, 94.81, 92.88
97, 0.1345, 94.83, 92.88
98, 0.1344, 94.83, 92.88
99, 0.1343, 94.84, 92.85
100, 0.1342, 94.84, 92.85

