
Network Parameters:
Training data: ./train.csv (3500 examples)
Testing data: ./test.csv (2000 examples)
Network structure: 64-10-10
Learning rate: 0.01
Momentum rate: 0.0
Epochs: 100
Activation function: TANH

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.8432, 58.49, 58.85
2, 0.6140, 67.66, 68.20
3, 0.5359, 75.86, 75.35
4, 0.4800, 81.71, 80.35
5, 0.4339, 83.51, 82.10
6, 0.3986, 83.91, 82.45
7, 0.3739, 83.17, 82.70
8, 0.3537, 81.89, 81.00
9, 0.3350, 82.14, 81.55
10, 0.3191, 83.11, 82.25
11, 0.3065, 83.94, 82.85
12, 0.2960, 85.06, 84.40
13, 0.2862, 86.40, 85.10
14, 0.2762, 87.14, 85.55
15, 0.2661, 88.06, 85.85
16, 0.2573, 88.54, 86.30
17, 0.2504, 88.91, 86.50
18, 0.2449, 89.09, 87.05
19, 0.2402, 89.17, 87.55
20, 0.2360, 89.34, 87.75
21, 0.2323, 89.31, 87.95
22, 0.2289, 89.51, 87.95
23, 0.2257, 89.60, 88.05
24, 0.2226, 89.77, 88.10
25, 0.2194, 89.89, 88.30
26, 0.2161, 90.14, 88.65
27, 0.2125, 90.60, 89.05
28, 0.2084, 90.77, 89.25
29, 0.2040, 90.97, 89.85
30, 0.1990, 91.37, 89.80
31, 0.1938, 91.86, 90.45
32, 0.1885, 92.40, 90.95
33, 0.1839, 92.69, 91.05
34, 0.1802, 92.74, 91.15
35, 0.1773, 92.83, 91.20
36, 0.1749, 93.11, 91.20
37, 0.1729, 93.17, 91.25
38, 0.1711, 93.23, 91.35
39, 0.1696, 93.29, 91.30
40, 0.1683, 93.23, 91.35
41, 0.1671, 93.29, 91.35
42, 0.1659, 93.29, 91.35
43, 0.1649, 93.29, 91.45
44, 0.1639, 93.31, 91.45
45, 0.1630, 93.29, 91.50
46, 0.1622, 93.34, 91.55
47, 0.1614, 93.34, 91.60
48, 0.1606, 93.46, 91.60
49, 0.1599, 93.43, 91.55
50, 0.1592, 93.43, 91.60
51, 0.1585, 93.49, 91.60
52, 0.1579, 93.54, 91.65
53, 0.1573, 93.57, 91.65
54, 0.1567, 93.66, 91.65
55, 0.1562, 93.71, 91.70
56, 0.1556, 93.74, 91.65
57, 0.1551, 93.74, 91.65
58, 0.1546, 93.77, 91.65
59, 0.1541, 93.71, 91.65
60, 0.1537, 93.69, 91.65
61, 0.1532, 93.69, 91.65
62, 0.1528, 93.66, 91.70
63, 0.1523, 93.69, 91.70
64, 0.1519, 93.69, 91.70
65, 0.1515, 93.69, 91.75
66, 0.1511, 93.69, 91.75
67, 0.1507, 93.69, 91.65
68, 0.1504, 93.71, 91.65
69, 0.1500, 93.74, 91.65
70, 0.1497, 93.74, 91.75
71, 0.1493, 93.74, 91.75
72, 0.1490, 93.74, 91.75
73, 0.1486, 93.69, 91.75
74, 0.1483, 93.66, 91.75
75, 0.1480, 93.66, 91.75
76, 0.1477, 93.63, 91.70
77, 0.1474, 93.66, 91.70
78, 0.1471, 93.66, 91.70
79, 0.1468, 93.66, 91.70
80, 0.1465, 93.66, 91.80
81, 0.1462, 93.66, 91.85
82, 0.1460, 93.69, 91.85
83, 0.1457, 93.69, 91.85
84, 0.1454, 93.71, 91.85
85, 0.1452, 93.71, 91.85
86, 0.1449, 93.77, 91.85
87, 0.1447, 93.77, 91.80
88, 0.1444, 93.83, 91.80
89, 0.1442, 93.83, 91.80
90, 0.1440, 93.83, 91.75
91, 0.1437, 93.86, 91.75
92, 0.1435, 93.89, 91.75
93, 0.1433, 93.91, 91.80
94, 0.1431, 93.91, 91.85
95, 0.1428, 93.94, 91.90
96, 0.1426, 93.94, 91.95
97, 0.1424, 93.94, 91.95
98, 0.1422, 93.94, 91.95
99, 0.1420, 93.94, 91.95
100, 0.1418, 93.94, 91.95

