
Network Parameters:
Training data: ./train.csv (3500 examples)
Testing data: ./test.csv (2000 examples)
Network structure: 64-30-10
Learning rate: 0.5
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.4441, 91.37, 90.10
2, 0.1773, 93.34, 91.55
3, 0.1330, 94.57, 92.30
4, 0.1107, 95.60, 92.85
5, 0.0955, 96.00, 93.40
6, 0.0846, 96.37, 93.35
7, 0.0762, 96.60, 93.60
8, 0.0691, 96.74, 93.85
9, 0.0632, 97.06, 93.80
10, 0.0583, 97.29, 93.95
11, 0.0542, 97.51, 94.10
12, 0.0506, 97.51, 94.20
13, 0.0474, 97.54, 94.35
14, 0.0444, 97.71, 94.40
15, 0.0418, 97.83, 94.65
16, 0.0394, 97.89, 94.50
17, 0.0374, 97.83, 94.60
18, 0.0356, 97.86, 94.65
19, 0.0340, 97.91, 94.60
20, 0.0326, 97.91, 94.65
21, 0.0314, 98.00, 94.50
22, 0.0302, 98.11, 94.60
23, 0.0291, 98.20, 94.55
24, 0.0281, 98.34, 94.55
25, 0.0272, 98.37, 94.60
26, 0.0262, 98.37, 94.65
27, 0.0254, 98.40, 94.65
28, 0.0246, 98.49, 94.60
29, 0.0238, 98.49, 94.55
30, 0.0232, 98.51, 94.70
31, 0.0226, 98.57, 94.70
32, 0.0220, 98.57, 94.65
33, 0.0215, 98.60, 94.65
34, 0.0211, 98.60, 94.60
35, 0.0207, 98.63, 94.50
36, 0.0203, 98.63, 94.60
37, 0.0198, 98.66, 94.60
38, 0.0194, 98.71, 94.55
39, 0.0190, 98.74, 94.60
40, 0.0187, 98.77, 94.50
41, 0.0183, 98.77, 94.35
42, 0.0179, 98.77, 94.40
43, 0.0176, 98.80, 94.30
44, 0.0173, 98.80, 94.35
45, 0.0170, 98.80, 94.45
46, 0.0168, 98.83, 94.55
47, 0.0166, 98.83, 94.75
48, 0.0163, 98.83, 94.70
49, 0.0162, 98.83, 94.70
50, 0.0160, 98.83, 94.80
51, 0.0158, 98.89, 94.75
52, 0.0156, 98.89, 94.75
53, 0.0153, 98.91, 94.80
54, 0.0152, 98.91, 94.80
55, 0.0150, 98.91, 94.85
56, 0.0149, 98.91, 94.85
57, 0.0148, 98.91, 94.90
58, 0.0147, 98.94, 94.90
59, 0.0146, 98.94, 94.90
60, 0.0145, 98.94, 94.95
61, 0.0143, 98.97, 94.90
62, 0.0142, 98.97, 94.95
63, 0.0141, 98.97, 94.95
64, 0.0140, 98.97, 94.95
65, 0.0139, 99.00, 94.90
66, 0.0138, 99.00, 95.00
67, 0.0137, 99.00, 94.95
68, 0.0136, 99.00, 94.90
69, 0.0135, 99.00, 94.90
70, 0.0134, 99.00, 95.00
71, 0.0133, 99.00, 95.00
72, 0.0132, 99.00, 95.00
73, 0.0131, 99.00, 95.05
74, 0.0130, 99.00, 95.00
75, 0.0129, 99.00, 94.95
76, 0.0128, 99.00, 94.95
77, 0.0127, 99.00, 95.00
78, 0.0127, 99.00, 95.00
79, 0.0126, 99.03, 95.05
80, 0.0126, 99.03, 95.05
81, 0.0125, 99.03, 95.05
82, 0.0124, 99.03, 95.15
83, 0.0124, 99.03, 95.15
84, 0.0122, 99.03, 95.10
85, 0.0121, 99.03, 95.10
86, 0.0121, 99.03, 95.10
87, 0.0120, 99.03, 95.15
88, 0.0120, 99.03, 95.15
89, 0.0119, 99.03, 95.15
90, 0.0119, 99.03, 95.15
91, 0.0119, 99.03, 95.15
92, 0.0119, 99.03, 95.15
93, 0.0118, 99.03, 95.15
94, 0.0118, 99.03, 95.15
95, 0.0118, 99.03, 95.15
96, 0.0117, 99.03, 95.20
97, 0.0117, 99.03, 95.25
98, 0.0117, 99.03, 95.25
99, 0.0117, 99.03, 95.25
100, 0.0117, 99.03, 95.25

