
Network Parameters:
Training data: ./train.csv (1750 examples)
Testing data: ./test.csv (1000 examples)
Network structure: 64-20-10
Learning rate: 0.05
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.9205, 31.66, 28.20
2, 0.8414, 46.00, 41.50
3, 0.7702, 57.20, 53.60
4, 0.6844, 63.54, 59.40
5, 0.6034, 70.91, 68.40
6, 0.5315, 77.26, 75.00
7, 0.4687, 80.86, 79.10
8, 0.4155, 83.71, 82.60
9, 0.3716, 86.40, 84.90
10, 0.3353, 87.89, 86.60
11, 0.3054, 89.03, 87.90
12, 0.2807, 89.71, 88.60
13, 0.2604, 90.51, 89.50
14, 0.2435, 91.14, 89.90
15, 0.2293, 91.66, 90.10
16, 0.2173, 92.17, 90.30
17, 0.2069, 92.40, 90.50
18, 0.1979, 92.69, 90.60
19, 0.1899, 92.80, 90.90
20, 0.1827, 93.09, 91.00
21, 0.1763, 93.26, 91.40
22, 0.1705, 93.54, 91.60
23, 0.1652, 93.66, 91.60
24, 0.1603, 93.77, 91.60
25, 0.1559, 93.83, 91.60
26, 0.1518, 94.11, 91.60
27, 0.1480, 94.17, 91.50
28, 0.1444, 94.34, 91.60
29, 0.1412, 94.46, 91.70
30, 0.1381, 94.57, 91.80
31, 0.1353, 94.57, 91.90
32, 0.1326, 94.57, 92.00
33, 0.1300, 94.57, 91.80
34, 0.1277, 94.63, 91.80
35, 0.1254, 94.69, 91.70
36, 0.1233, 94.74, 91.80
37, 0.1212, 94.86, 91.90
38, 0.1193, 94.86, 91.90
39, 0.1174, 94.86, 91.90
40, 0.1156, 94.97, 91.90
41, 0.1139, 95.09, 91.90
42, 0.1123, 95.09, 92.00
43, 0.1107, 95.26, 92.20
44, 0.1092, 95.26, 92.20
45, 0.1078, 95.26, 92.20
46, 0.1064, 95.43, 92.20
47, 0.1050, 95.49, 92.20
48, 0.1037, 95.49, 92.20
49, 0.1025, 95.49, 92.20
50, 0.1012, 95.49, 92.20
51, 0.1000, 95.54, 92.30
52, 0.0989, 95.54, 92.40
53, 0.0977, 95.71, 92.40
54, 0.0967, 95.83, 92.40
55, 0.0956, 95.89, 92.40
56, 0.0946, 96.00, 92.50
57, 0.0935, 96.00, 92.50
58, 0.0926, 96.00, 92.60
59, 0.0916, 96.00, 92.60
60, 0.0907, 96.06, 92.60
61, 0.0897, 96.06, 92.80
62, 0.0888, 96.06, 92.70
63, 0.0880, 96.11, 92.80
64, 0.0871, 96.11, 93.00
65, 0.0863, 96.17, 93.10
66, 0.0855, 96.34, 93.10
67, 0.0846, 96.40, 93.10
68, 0.0839, 96.46, 93.10
69, 0.0831, 96.57, 93.10
70, 0.0823, 96.63, 93.10
71, 0.0816, 96.63, 93.10
72, 0.0808, 96.63, 93.10
73, 0.0801, 96.63, 93.20
74, 0.0794, 96.69, 93.20
75, 0.0787, 96.69, 93.20
76, 0.0781, 96.69, 93.20
77, 0.0774, 96.74, 93.20
78, 0.0767, 96.86, 93.20
79, 0.0761, 96.91, 93.20
80, 0.0755, 96.97, 93.20
81, 0.0748, 96.91, 93.20
82, 0.0742, 96.91, 93.20
83, 0.0736, 96.97, 93.30
84, 0.0730, 97.03, 93.40
85, 0.0725, 97.03, 93.40
86, 0.0719, 97.03, 93.40
87, 0.0713, 97.03, 93.40
88, 0.0708, 97.09, 93.40
89, 0.0702, 97.09, 93.40
90, 0.0697, 97.09, 93.40
91, 0.0692, 97.20, 93.40
92, 0.0686, 97.26, 93.40
93, 0.0681, 97.26, 93.40
94, 0.0676, 97.31, 93.40
95, 0.0671, 97.31, 93.40
96, 0.0666, 97.31, 93.50
97, 0.0661, 97.31, 93.50
98, 0.0657, 97.31, 93.50
99, 0.0652, 97.31, 93.50
100, 0.0647, 97.31, 93.40

