
Network Parameters:
Training data: ./train.csv (1750 examples)
Testing data: ./test.csv (1000 examples)
Network structure: 64-10-10
Learning rate: 0.1
Momentum rate: 0.0
Epochs: 100
Activation function: TANH

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.8072, 64.97, 65.60
2, 0.6337, 71.66, 71.50
3, 0.5811, 76.29, 77.60
4, 0.5380, 82.00, 83.90
5, 0.5073, 85.89, 87.10
6, 0.4829, 86.86, 88.40
7, 0.4561, 88.40, 88.90
8, 0.4297, 89.37, 89.40
9, 0.4167, 89.77, 89.90
10, 0.4088, 90.17, 90.20
11, 0.4031, 90.46, 90.60
12, 0.3990, 90.69, 90.40
13, 0.3957, 90.80, 90.30
14, 0.3928, 90.86, 90.30
15, 0.3902, 90.86, 90.20
16, 0.3878, 90.80, 89.90
17, 0.3855, 91.26, 89.80
18, 0.3833, 91.26, 89.90
19, 0.3812, 91.31, 90.10
20, 0.3793, 91.49, 90.40
21, 0.3775, 91.77, 90.60
22, 0.3760, 92.00, 90.50
23, 0.3746, 92.29, 90.50
24, 0.3735, 92.23, 90.30
25, 0.3724, 92.17, 90.40
26, 0.3714, 92.17, 90.50
27, 0.3705, 92.00, 90.30
28, 0.3695, 92.06, 90.20
29, 0.3686, 92.17, 90.20
30, 0.3675, 92.23, 90.50
31, 0.3663, 92.29, 90.70
32, 0.3650, 92.23, 90.60
33, 0.3637, 92.17, 90.40
34, 0.3625, 92.34, 90.40
35, 0.3615, 92.40, 90.40
36, 0.3606, 92.40, 90.40
37, 0.3597, 92.46, 90.40
38, 0.3588, 92.57, 90.70
39, 0.3580, 92.63, 90.60
40, 0.3572, 92.51, 90.60
41, 0.3564, 92.63, 90.50
42, 0.3556, 92.63, 90.50
43, 0.3548, 92.51, 90.50
44, 0.3542, 92.63, 90.40
45, 0.3536, 92.69, 90.30
46, 0.3530, 92.63, 90.20
47, 0.3525, 92.63, 90.20
48, 0.3521, 92.63, 90.20
49, 0.3517, 92.57, 90.10
50, 0.3513, 92.51, 90.10
51, 0.3510, 92.51, 90.00
52, 0.3507, 92.51, 90.00
53, 0.3504, 92.57, 90.10
54, 0.3501, 92.57, 90.10
55, 0.3499, 92.63, 90.10
56, 0.3496, 92.63, 90.30
57, 0.3494, 92.63, 90.30
58, 0.3492, 92.69, 90.30
59, 0.3490, 92.69, 90.30
60, 0.3488, 92.74, 90.20
61, 0.3486, 92.74, 90.20
62, 0.3484, 92.69, 90.20
63, 0.3482, 92.74, 90.20
64, 0.3481, 92.80, 90.20
65, 0.3479, 92.91, 90.20
66, 0.3478, 93.09, 90.20
67, 0.3476, 93.14, 90.10
68, 0.3475, 93.14, 90.10
69, 0.3473, 93.14, 90.10
70, 0.3472, 93.14, 90.00
71, 0.3471, 93.14, 89.90
72, 0.3469, 93.09, 89.90
73, 0.3468, 93.09, 89.90
74, 0.3467, 93.09, 89.90
75, 0.3466, 93.09, 89.90
76, 0.3465, 93.09, 89.80
77, 0.3463, 93.09, 89.80
78, 0.3462, 93.09, 89.80
79, 0.3461, 93.09, 89.80
80, 0.3460, 93.09, 89.90
81, 0.3459, 93.09, 89.90
82, 0.3458, 93.14, 89.90
83, 0.3457, 93.14, 89.90
84, 0.3456, 93.14, 89.70
85, 0.3455, 93.09, 89.70
86, 0.3454, 93.03, 89.70
87, 0.3453, 93.03, 89.80
88, 0.3452, 93.09, 89.80
89, 0.3452, 93.09, 89.70
90, 0.3451, 93.09, 89.70
91, 0.3450, 93.09, 89.80
92, 0.3449, 93.09, 89.80
93, 0.3448, 93.09, 89.80
94, 0.3447, 93.09, 89.80
95, 0.3447, 93.03, 89.80
96, 0.3446, 93.03, 89.80
97, 0.3445, 92.97, 89.80
98, 0.3444, 92.97, 89.80
99, 0.3443, 92.97, 89.80
100, 0.3443, 92.97, 89.80

