
Network Parameters:
Training data: ./train.csv (1750 examples)
Testing data: ./test.csv (1000 examples)
Network structure: 64-30-10
Learning rate: 0.1
Momentum rate: 0.0
Epochs: 100
Activation function: LOG

Epoch, MSE, Accuracy (Train), Accuracy (Test)
1, 0.8730, 49.54, 48.60
2, 0.6838, 76.11, 76.70
3, 0.4992, 83.94, 83.60
4, 0.3845, 86.91, 86.70
5, 0.3156, 88.74, 87.90
6, 0.2720, 90.34, 88.80
7, 0.2425, 91.09, 89.30
8, 0.2207, 91.43, 89.80
9, 0.2035, 91.89, 90.30
10, 0.1896, 92.23, 90.90
11, 0.1778, 92.80, 91.40
12, 0.1677, 93.37, 91.50
13, 0.1589, 93.89, 92.20
14, 0.1512, 94.17, 92.50
15, 0.1443, 94.46, 92.40
16, 0.1380, 94.69, 92.40
17, 0.1324, 94.80, 92.40
18, 0.1272, 94.91, 92.60
19, 0.1226, 95.20, 92.60
20, 0.1182, 95.43, 92.70
21, 0.1143, 95.54, 92.70
22, 0.1106, 95.54, 92.80
23, 0.1071, 95.66, 92.90
24, 0.1039, 95.83, 93.10
25, 0.1009, 96.00, 93.20
26, 0.0981, 96.11, 93.20
27, 0.0954, 96.11, 93.20
28, 0.0929, 96.29, 93.20
29, 0.0905, 96.34, 93.20
30, 0.0883, 96.57, 93.30
31, 0.0861, 96.74, 93.30
32, 0.0840, 96.74, 93.30
33, 0.0821, 96.74, 93.30
34, 0.0802, 96.80, 93.40
35, 0.0784, 96.80, 93.40
36, 0.0767, 96.97, 93.40
37, 0.0750, 97.03, 93.50
38, 0.0734, 97.14, 93.50
39, 0.0719, 97.43, 93.60
40, 0.0704, 97.43, 93.70
41, 0.0690, 97.43, 93.70
42, 0.0676, 97.43, 93.60
43, 0.0663, 97.49, 93.60
44, 0.0650, 97.49, 93.60
45, 0.0638, 97.49, 93.80
46, 0.0626, 97.49, 93.80
47, 0.0614, 97.49, 93.80
48, 0.0603, 97.49, 93.80
49, 0.0592, 97.66, 93.80
50, 0.0581, 97.66, 93.80
51, 0.0571, 97.71, 93.90
52, 0.0561, 97.77, 93.90
53, 0.0551, 97.83, 93.70
54, 0.0542, 97.89, 93.70
55, 0.0533, 97.89, 93.70
56, 0.0524, 97.89, 93.70
57, 0.0516, 98.00, 93.70
58, 0.0507, 98.00, 93.60
59, 0.0499, 98.06, 93.60
60, 0.0491, 98.06, 93.60
61, 0.0484, 98.11, 93.60
62, 0.0476, 98.11, 93.70
63, 0.0469, 98.17, 93.70
64, 0.0462, 98.17, 93.60
65, 0.0455, 98.17, 93.60
66, 0.0448, 98.23, 93.70
67, 0.0441, 98.23, 93.90
68, 0.0435, 98.23, 93.90
69, 0.0428, 98.23, 93.80
70, 0.0422, 98.29, 93.90
71, 0.0416, 98.34, 93.90
72, 0.0410, 98.40, 93.90
73, 0.0404, 98.40, 93.80
74, 0.0398, 98.40, 93.80
75, 0.0392, 98.40, 93.80
76, 0.0387, 98.40, 93.80
77, 0.0381, 98.40, 93.80
78, 0.0376, 98.46, 93.80
79, 0.0371, 98.46, 93.80
80, 0.0366, 98.46, 93.80
81, 0.0361, 98.46, 93.80
82, 0.0356, 98.46, 93.90
83, 0.0351, 98.46, 93.80
84, 0.0347, 98.51, 93.80
85, 0.0342, 98.51, 93.80
86, 0.0338, 98.51, 93.90
87, 0.0333, 98.51, 94.00
88, 0.0329, 98.63, 94.00
89, 0.0325, 98.63, 94.00
90, 0.0320, 98.63, 94.00
91, 0.0316, 98.69, 94.00
92, 0.0312, 98.69, 94.00
93, 0.0308, 98.74, 94.00
94, 0.0305, 98.74, 94.00
95, 0.0301, 98.74, 94.00
96, 0.0297, 98.80, 94.00
97, 0.0293, 98.80, 94.00
98, 0.0290, 98.80, 94.00
99, 0.0286, 98.80, 94.00
100, 0.0283, 98.86, 94.00

