BP-NN - Hidden Layer Data

HL05
Epoch,Run 1,Run 2,Run 3,Run 4,Run 8,Run 9,Run 10,Run 12,Run 13,Run 15,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 30,Mean
1,0.8337,0.8698,0.8241,0.8407,0.8584,0.8159,0.8435,0.8276,0.8483,0.8474,0.843,0.8401,0.8591,0.8213,0.8059,0.8332,0.8593,0.8611,0.8157,0.8438,0.8309,0.8312,0.871,0.8402173913043477
2,0.6918,0.7722,0.6933,0.7272,0.7495,0.6506,0.7197,0.6643,0.7375,0.6745,0.6535,0.691,0.7323,0.6814,0.666,0.6859,0.6997,0.7118,0.6736,0.716,0.6881,0.688,0.7328,0.7000304347826087
3,0.5735,0.6822,0.611,0.622,0.641,0.5494,0.6145,0.5812,0.6227,0.5755,0.5464,0.5832,0.6499,0.588,0.5742,0.5773,0.6104,0.5704,0.5842,0.5819,0.6171,0.5786,0.589,0.5966782608695652
4,0.4994,0.5821,0.5325,0.5578,0.5606,0.4796,0.5347,0.5076,0.5366,0.5067,0.4708,0.4803,0.5736,0.5078,0.4936,0.501,0.551,0.4615,0.4991,0.4822,0.5697,0.4969,0.5139,0.5173478260869565
5,0.451,0.5067,0.4689,0.511,0.4894,0.422,0.4733,0.4393,0.4662,0.4439,0.3951,0.4112,0.4893,0.4386,0.4292,0.423,0.4866,0.3835,0.4268,0.4078,0.5119,0.4336,0.4621,0.4508869565217392
6,0.409,0.4438,0.4225,0.4635,0.4258,0.3641,0.4237,0.3865,0.3993,0.39,0.3321,0.3629,0.4029,0.3848,0.3701,0.3566,0.417,0.3279,0.3725,0.3425,0.4469,0.3862,0.4217,0.39357826086956516
7,0.3682,0.3899,0.3916,0.4219,0.372,0.3216,0.3808,0.3465,0.3473,0.3553,0.2837,0.3204,0.3391,0.3429,0.3176,0.3005,0.3602,0.285,0.3333,0.2881,0.3911,0.3479,0.3798,0.3471608695652174
8,0.3294,0.3504,0.3672,0.3946,0.3322,0.2854,0.3456,0.3112,0.3035,0.3298,0.248,0.282,0.2965,0.3078,0.2826,0.2584,0.3185,0.2474,0.3013,0.2458,0.3515,0.3203,0.3319,0.31049130434782607
9,0.3033,0.3232,0.3503,0.3741,0.3017,0.2646,0.3127,0.2855,0.269,0.3093,0.2199,0.2501,0.2679,0.2728,0.2593,0.2152,0.2824,0.2145,0.2796,0.2142,0.3151,0.2911,0.2842,0.2808695652173913
10,0.28,0.3029,0.333,0.3589,0.2817,0.2464,0.2786,0.2605,0.2387,0.2927,0.1986,0.2221,0.2506,0.2463,0.2421,0.1864,0.2559,0.1869,0.2564,0.1927,0.2861,0.2712,0.2466,0.2571869565217392
11,0.2607,0.2857,0.3202,0.3449,0.2629,0.2353,0.2483,0.2467,0.2157,0.2775,0.1836,0.2017,0.2337,0.2223,0.2276,0.1627,0.2282,0.1664,0.2448,0.1745,0.2667,0.2528,0.2184,0.23831739130434784
12,0.2461,0.2639,0.3085,0.3348,0.2483,0.2242,0.2259,0.2283,0.1977,0.2697,0.1715,0.1841,0.223,0.2016,0.2189,0.1466,0.2018,0.148,0.2343,0.1623,0.2467,0.2402,0.196,0.22271304347826087
13,0.2364,0.2508,0.2898,0.3239,0.2379,0.2156,0.2056,0.2127,0.1838,0.2539,0.1619,0.1715,0.2146,0.1866,0.2118,0.1336,0.1816,0.1302,0.2266,0.1515,0.2294,0.2289,0.1818,0.20958260869565223
14,0.2281,0.2381,0.2682,0.3172,0.2288,0.2106,0.1874,0.1935,0.1736,0.24,0.1524,0.1641,0.2084,0.1743,0.2067,0.123,0.168,0.1218,0.2194,0.1432,0.2136,0.2189,0.1659,0.19848695652173912
15,0.2189,0.2263,0.2477,0.3061,0.2177,0.2054,0.1744,0.1835,0.1639,0.2224,0.1458,0.1554,0.2035,0.1648,0.2002,0.1126,0.149,0.1087,0.2107,0.1375,0.1993,0.2135,0.1562,0.18797826086956523
16,0.2138,0.2179,0.2261,0.2888,0.2108,0.1999,0.1643,0.1679,0.1564,0.2115,0.1399,0.148,0.1994,0.156,0.1963,0.1021,0.1399,0.0988,0.2064,0.1329,0.1893,0.204,0.1495,0.1791260869565217
17,0.2079,0.2098,0.2048,0.2672,0.2028,0.196,0.153,0.159,0.1482,0.2019,0.1368,0.1428,0.194,0.1482,0.1928,0.0937,0.1226,0.0923,0.2009,0.1276,0.1774,0.1893,0.1411,0.17000434782608695
18,0.2047,0.1975,0.1905,0.2511,0.2001,0.194,0.1423,0.1548,0.1431,0.1966,0.1299,0.1398,0.192,0.1454,0.1863,0.0897,0.1178,0.0848,0.193,0.1225,0.1659,0.183,0.1336,0.16340869565217392
19,0.2009,0.1772,0.1748,0.2428,0.1894,0.1896,0.132,0.1471,0.1403,0.1902,0.1246,0.1349,0.1884,0.1378,0.1806,0.081,0.1053,0.0806,0.1856,0.1205,0.1579,0.1694,0.1273,0.15557391304347826
20,0.1984,0.1646,0.1665,0.2317,0.1868,0.1876,0.1234,0.1422,0.1352,0.1839,0.1238,0.132,0.1876,0.1341,0.171,0.0812,0.1013,0.0759,0.175,0.1167,0.1545,0.154,0.1242,0.1500695652173913
21,0.1912,0.152,0.1558,0.2244,0.1805,0.1859,0.1148,0.1386,0.1309,0.1798,0.1212,0.1303,0.1833,0.1298,0.1629,0.076,0.0958,0.0672,0.1655,0.1165,0.1476,0.1304,0.118,0.1434086956521739
22,0.1846,0.1438,0.1483,0.2103,0.1746,0.1848,0.1036,0.1344,0.128,0.1703,0.118,0.1283,0.1839,0.1282,0.1551,0.0705,0.0901,0.066,0.1553,0.1116,0.1398,0.1206,0.1143,0.13758260869565217
23,0.177,0.1373,0.1452,0.2028,0.165,0.1834,0.094,0.1303,0.124,0.1676,0.117,0.1259,0.1792,0.125,0.149,0.0711,0.0802,0.0656,0.1475,0.1104,0.1358,0.1067,0.1086,0.13254782608695653
24,0.1621,0.1328,0.1402,0.195,0.1634,0.1809,0.0874,0.1264,0.1239,0.1609,0.1149,0.123,0.1765,0.1224,0.1441,0.0659,0.0808,0.0605,0.142,0.1074,0.1323,0.0937,0.1015,0.12773913043478263
25,0.1554,0.1256,0.1359,0.183,0.1571,0.1802,0.0852,0.1245,0.1193,0.1571,0.114,0.12,0.1751,0.1188,0.1405,0.0691,0.0685,0.0558,0.1341,0.1099,0.1274,0.0899,0.0972,0.12363478260869569

HL10
Epoch,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 14,Run 15,Run 19,Run 21,Run 22,Run 23,Run 24,Run 26,Run 27,Run 28,Run 29,Run 30,Mean
1,0.8129,0.7583,0.7797,0.7932,0.7448,0.7947,0.8003,0.7729,0.788,0.7518,0.7673,0.7926,0.8099,0.8162,0.8016,0.78,0.7956,0.7831,0.7645,0.7645,0.7565,0.7894,0.7837,0.7826739130434782
2,0.615,0.5211,0.6021,0.5849,0.5253,0.6064,0.5733,0.5916,0.5694,0.5229,0.5966,0.5439,0.6063,0.5909,0.6099,0.5661,0.5672,0.5384,0.5789,0.5484,0.5285,0.5765,0.5941,0.5720739130434782
3,0.4686,0.3994,0.4746,0.4262,0.4032,0.5091,0.4262,0.4703,0.4177,0.3853,0.4808,0.3925,0.4312,0.4442,0.4548,0.4161,0.4251,0.3981,0.4481,0.4405,0.3933,0.4315,0.4371,0.43364782608695646
4,0.3871,0.3262,0.3745,0.3268,0.3283,0.4139,0.3285,0.3774,0.3321,0.3032,0.3939,0.3044,0.3275,0.3755,0.3655,0.303,0.3421,0.3098,0.3453,0.3686,0.2867,0.3339,0.3133,0.34206521739130435
5,0.323,0.269,0.2959,0.2664,0.2737,0.3321,0.255,0.3171,0.265,0.2508,0.3319,0.2473,0.2441,0.3288,0.3066,0.2259,0.2811,0.2454,0.2693,0.3124,0.2127,0.2758,0.2351,0.2767130434782609
6,0.2716,0.2187,0.2426,0.226,0.2345,0.2698,0.1988,0.2612,0.2137,0.2116,0.2834,0.2018,0.194,0.2861,0.2622,0.1782,0.2271,0.1998,0.2137,0.2558,0.1725,0.2316,0.1919,0.22811304347826092
7,0.2369,0.1826,0.2109,0.2001,0.2067,0.2181,0.1657,0.2119,0.1758,0.1844,0.2488,0.1723,0.1606,0.2528,0.219,0.152,0.1831,0.1662,0.1787,0.2053,0.1442,0.1954,0.1655,0.19291304347826085
8,0.2001,0.1494,0.1837,0.1812,0.1855,0.182,0.1423,0.1781,0.1516,0.1543,0.2191,0.147,0.1357,0.2237,0.1844,0.1269,0.1496,0.1481,0.1516,0.1714,0.1308,0.1694,0.1451,0.16569565217391305
9,0.1671,0.1304,0.1648,0.164,0.1665,0.1588,0.1242,0.1565,0.1277,0.129,0.1988,0.1296,0.1177,0.1994,0.1665,0.1133,0.1305,0.1308,0.1332,0.1442,0.1171,0.1503,0.1281,0.14558695652173914
10,0.1404,0.1117,0.1537,0.1541,0.151,0.1371,0.112,0.1415,0.11,0.117,0.1784,0.1143,0.1019,0.1845,0.1482,0.1017,0.109,0.1177,0.1157,0.1281,0.1061,0.1351,0.1144,0.12972173913043478
11,0.1161,0.1023,0.1406,0.146,0.1399,0.1221,0.1024,0.1266,0.098,0.1028,0.1645,0.107,0.0897,0.1676,0.1404,0.0912,0.0962,0.1058,0.102,0.1112,0.0966,0.1222,0.1035,0.11716086956521737
12,0.0996,0.09,0.1265,0.1331,0.1257,0.1079,0.0882,0.1209,0.0887,0.0914,0.1484,0.099,0.0783,0.1556,0.1329,0.0855,0.0827,0.0951,0.0942,0.0925,0.0888,0.1123,0.0983,0.10589565217391303
13,0.0889,0.0847,0.1164,0.1286,0.1145,0.0982,0.0778,0.1144,0.0787,0.0825,0.1409,0.0907,0.0765,0.1388,0.1268,0.0796,0.0759,0.0834,0.0792,0.0832,0.0838,0.1046,0.0863,0.09714782608695652
14,0.0787,0.071,0.1079,0.1211,0.1069,0.0887,0.0751,0.1044,0.0729,0.076,0.1286,0.0851,0.0675,0.132,0.118,0.0728,0.0716,0.0783,0.0811,0.0709,0.0763,0.0935,0.08,0.08949565217391303
15,0.0753,0.068,0.1,0.1155,0.0989,0.0798,0.0653,0.0931,0.0674,0.0655,0.1173,0.0816,0.0602,0.1212,0.1107,0.065,0.068,0.0709,0.0709,0.0684,0.0706,0.085,0.0714,0.08217391304347825
16,0.0647,0.0628,0.095,0.1059,0.0911,0.076,0.063,0.0875,0.0604,0.0659,0.1083,0.0802,0.0556,0.111,0.1098,0.0642,0.0609,0.0631,0.0638,0.0615,0.0698,0.0773,0.0636,0.07658260869565217
17,0.0629,0.0535,0.0852,0.0995,0.0804,0.0746,0.056,0.079,0.0548,0.059,0.0983,0.0657,0.0511,0.1038,0.1023,0.0666,0.0562,0.0568,0.0535,0.057,0.0629,0.0709,0.0625,0.07010869565217391
18,0.0539,0.0508,0.0766,0.0897,0.0722,0.0622,0.0569,0.0676,0.0539,0.0575,0.0905,0.0689,0.0529,0.0922,0.097,0.053,0.0515,0.0564,0.0528,0.0482,0.0629,0.0672,0.0572,0.0648695652173913
19,0.0522,0.0472,0.0726,0.0841,0.0677,0.0622,0.0491,0.0649,0.0481,0.0494,0.0844,0.0642,0.0484,0.0874,0.0916,0.0552,0.0464,0.0516,0.0522,0.0447,0.0589,0.0625,0.0522,0.06074782608695652
20,0.0486,0.0454,0.0664,0.0761,0.0623,0.0606,0.0465,0.0601,0.0464,0.0466,0.0794,0.0662,0.0405,0.0777,0.0883,0.048,0.0456,0.052,0.0466,0.0409,0.059,0.0584,0.0454,0.056826086956521735
21,0.0457,0.0426,0.0631,0.0738,0.0616,0.0574,0.0432,0.0551,0.0431,0.0427,0.0665,0.0674,0.0406,0.0746,0.0823,0.0505,0.0414,0.0483,0.0408,0.0401,0.0559,0.053,0.0459,0.053721739130434785
22,0.0433,0.0426,0.0602,0.0665,0.0551,0.0484,0.0378,0.0474,0.0439,0.0468,0.0637,0.0644,0.0387,0.0647,0.0774,0.0456,0.0348,0.0432,0.0418,0.0355,0.0564,0.0453,0.0421,0.04980869565217391
23,0.041,0.0363,0.0518,0.0623,0.0507,0.0478,0.0359,0.0447,0.0399,0.0404,0.0603,0.0557,0.0363,0.0646,0.0736,0.0452,0.0342,0.0396,0.0406,0.0404,0.0516,0.0493,0.038,0.04696521739130434
24,0.037,0.0358,0.0507,0.0583,0.0446,0.0449,0.0345,0.0363,0.0405,0.0436,0.0547,0.0505,0.0368,0.0604,0.0703,0.0408,0.0344,0.0444,0.0472,0.0338,0.0482,0.0403,0.0381,0.04461304347826087
