BP-NN - Learning Rate Data

LR0001
Epoch,Run 2,Run 4,Run 5,Run 7,Run 10,Run 11,Run 14,Run 17,Run 18,Run 19,Mean
1,1.5491,1.5107,1.8187,1.5283,1.6254,1.6655,1.9785,1.9341,1.6303,1.6873,1.69279
2,1.0599,1.0648,1.1794,1.0922,1.0965,1.1324,1.2721,1.1383,1.1438,1.1217,1.1301100000000002
3,0.935,0.9501,0.999,0.9776,0.9754,0.9886,1.0812,0.9721,0.9962,0.9765,0.9851699999999999
4,0.8879,0.9019,0.9325,0.9206,0.9244,0.9273,0.9936,0.912,0.9304,0.9173,0.9247900000000001
5,0.8655,0.8768,0.9004,0.8912,0.8948,0.8943,0.9472,0.8808,0.8948,0.8876,0.8933399999999999
6,0.8512,0.8601,0.8795,0.8739,0.8786,0.8744,0.9163,0.8626,0.873,0.87,0.8739600000000001
7,0.8407,0.8483,0.8673,0.8607,0.8678,0.8611,0.8967,0.8499,0.8583,0.8585,0.86093
8,0.833,0.8371,0.8589,0.8508,0.8579,0.8517,0.8819,0.8405,0.848,0.8497,0.8509499999999999
9,0.8275,0.8282,0.8514,0.8429,0.848,0.8445,0.8706,0.8328,0.8403,0.843,0.8429200000000001
10,0.8229,0.8207,0.8454,0.8361,0.8418,0.8386,0.8613,0.8264,0.834,0.8371,0.83643
11,0.8189,0.8156,0.8413,0.8309,0.8359,0.834,0.8531,0.8204,0.8294,0.8318,0.8311299999999999
12,0.8159,0.8121,0.8364,0.8266,0.8326,0.83,0.847,0.8152,0.8259,0.8273,0.8269
13,0.8132,0.8087,0.8326,0.8226,0.8267,0.8262,0.8403,0.8104,0.8235,0.8233,0.8227500000000001
14,0.8105,0.8054,0.8283,0.8191,0.8236,0.823,0.8357,0.8055,0.822,0.8194,0.81925
15,0.8084,0.8032,0.8245,0.8161,0.8206,0.8201,0.8311,0.8014,0.8205,0.8161,0.8162
16,0.8064,0.8001,0.8204,0.8131,0.818,0.8173,0.827,0.7971,0.8195,0.8137,0.81326
17,0.8047,0.7975,0.8164,0.8109,0.8149,0.815,0.8233,0.7936,0.8174,0.8106,0.81043
18,0.8029,0.795,0.8126,0.8089,0.8123,0.8125,0.8201,0.79,0.8161,0.8081,0.80785
19,0.8013,0.7919,0.8089,0.8068,0.8111,0.8101,0.817,0.7869,0.8141,0.8062,0.80543
20,0.8,0.7898,0.8058,0.8051,0.8087,0.8082,0.8138,0.7841,0.8127,0.8042,0.80324
21,0.7984,0.7869,0.8024,0.8033,0.8067,0.8062,0.8113,0.7818,0.8103,0.8028,0.80101
22,0.7971,0.7848,0.7995,0.8021,0.8045,0.8043,0.8085,0.7792,0.809,0.801,0.799
23,0.7959,0.7823,0.7962,0.8006,0.8031,0.8018,0.8056,0.7774,0.8067,0.7995,0.79691
24,0.7944,0.7798,0.793,0.7996,0.8001,0.7998,0.8033,0.7753,0.8049,0.7981,0.7948299999999999
25,0.7935,0.7765,0.7899,0.7983,0.7985,0.7978,0.8004,0.7731,0.8027,0.7966,0.7927299999999999

LR0010
Epoch,Run 1,Run 3,Run 4,Run 5,Run 6,Run 8,Run 10,Run 14,Run 19,Run 20,Mean
1,0.9764,0.9445,0.9384,1.0277,0.9776,0.9568,0.9944,0.9633,0.9907,0.9747,0.97445
2,0.8339,0.8058,0.8158,0.8394,0.8222,0.8384,0.8162,0.8219,0.8175,0.8244,0.82355
