BP-NN - Momentum Rate Data

MR0001
Epoch,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 8,Run 9,Run 10,Run 12,Run 13,Run 14,Run 15,Run 17,Run 18,Run 20,Run 21,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Mean
1,0.8422,0.8895,0.8586,0.8463,0.8496,0.8092,0.8209,0.8615,0.8402,0.8471,0.8322,0.8307,0.8242,0.8431,0.8328,0.821,0.8392,0.8116,0.8396,0.8255,0.8352,0.8722,0.8334,0.8393826086956523
2,0.7091,0.8065,0.6926,0.7267,0.7109,0.632,0.6498,0.738,0.7062,0.7727,0.6733,0.6627,0.6531,0.7184,0.6569,0.6457,0.7089,0.6256,0.7037,0.6535,0.6515,0.7906,0.7179,0.6959260869565217
3,0.5864,0.7376,0.5838,0.6143,0.5657,0.5182,0.5406,0.6249,0.6188,0.6737,0.5448,0.5537,0.5607,0.638,0.5648,0.5707,0.5895,0.5144,0.592,0.5534,0.5326,0.6989,0.6119,0.5908434782608696
4,0.4868,0.6432,0.5184,0.5284,0.4763,0.4404,0.46,0.5521,0.5527,0.5968,0.4553,0.48,0.4879,0.542,0.4894,0.5119,0.4892,0.4478,0.5005,0.4664,0.4513,0.6198,0.5206,0.5094434782608696
5,0.4128,0.5386,0.4714,0.4579,0.4112,0.3908,0.4027,0.4674,0.4819,0.5335,0.3955,0.4386,0.4118,0.4683,0.4208,0.4537,0.4178,0.3908,0.4322,0.4035,0.3892,0.5619,0.4542,0.4437608695652174
6,0.3605,0.4559,0.4207,0.3913,0.3539,0.3494,0.3644,0.4011,0.4259,0.4758,0.3475,0.413,0.3415,0.4141,0.3671,0.4041,0.3615,0.3438,0.379,0.3619,0.3395,0.5058,0.4082,0.39069130434782623
7,0.3277,0.4043,0.3698,0.3411,0.2997,0.3199,0.3388,0.355,0.3787,0.4213,0.3144,0.3893,0.2882,0.3691,0.3249,0.3585,0.3127,0.3086,0.3326,0.3241,0.2942,0.4529,0.3745,0.3478391304347826
8,0.2986,0.373,0.3206,0.293,0.2521,0.2982,0.3173,0.3185,0.3462,0.3626,0.2866,0.3727,0.2494,0.331,0.2905,0.3212,0.2746,0.2779,0.285,0.2945,0.2567,0.4022,0.3495,0.31182173913043476
9,0.2711,0.3512,0.2788,0.2517,0.2169,0.2717,0.3035,0.2885,0.3097,0.3107,0.265,0.3598,0.2218,0.3038,0.2594,0.2875,0.2462,0.2573,0.2456,0.2691,0.2223,0.3631,0.3315,0.2820086956521739
10,0.2457,0.3333,0.2452,0.2227,0.1922,0.262,0.2864,0.2676,0.274,0.2648,0.2495,0.3432,0.2017,0.2829,0.2347,0.2575,0.2223,0.2416,0.2143,0.2464,0.1958,0.3261,0.3163,0.2576608695652174
