PSO-NN - Hidden Layer Data

HL05
Epoch,Run 1,Run 3,Run 4,Run 5,Run 7,Run 11,Run 15,Run 17,Run 18,Run 20,Mean
1,1.1181,1.1286,0.8432,1.0211,0.9559,1.0167,1.0949,1.0441,1.0763,1.0172,1.0316100000000001
2,1.0926,1.1235,0.7897,0.9515,0.9559,0.896,0.9536,1.0441,1.0763,1.0121,0.98953
3,0.9796,0.9658,0.7049,0.9285,0.9221,0.8715,0.9,1.0183,1.0578,1.0121,0.93606
4,0.9656,0.9658,0.6848,0.903,0.8531,0.8074,0.8805,0.9185,0.9941,0.8979,0.8870699999999999
5,0.9229,0.9399,0.6495,0.8906,0.8183,0.8004,0.8391,0.8709,0.9071,0.8191,0.8457800000000001
6,0.8706,0.887,0.6366,0.8568,0.8004,0.7513,0.8335,0.779,0.8854,0.799,0.80996
7,0.8706,0.8742,0.6269,0.8284,0.7865,0.6993,0.7793,0.7651,0.8381,0.7554,0.78238
8,0.8594,0.8575,0.6149,0.8107,0.755,0.6843,0.7606,0.7328,0.8207,0.7449,0.7640800000000001
9,0.8435,0.8207,0.6019,0.7887,0.7461,0.6784,0.7317,0.7133,0.7891,0.7345,0.7447900000000001
10,0.8037,0.8044,0.5958,0.771,0.719,0.6678,0.6997,0.703,0.7644,0.7302,0.7259
11,0.792,0.7738,0.5865,0.7617,0.7133,0.6565,0.6842,0.6991,0.7565,0.7181,0.71417
12,0.7664,0.763,0.5797,0.7492,0.6984,0.6502,0.6549,0.6925,0.7401,0.7098,0.7004199999999999
13,0.7576,0.7503,0.5765,0.7342,0.6888,0.6433,0.6453,0.6886,0.726,0.7063,0.69169
14,0.7354,0.7401,0.5736,0.7277,0.6848,0.6416,0.6374,0.6857,0.7192,0.6994,0.6844899999999999
15,0.7294,0.7338,0.5684,0.7204,0.6775,0.6303,0.6238,0.6822,0.7146,0.6953,0.67757
16,0.7104,0.72,0.5659,0.7145,0.6749,0.6303,0.6207,0.6805,0.7113,0.6919,0.67204
17,0.7056,0.7154,0.5631,0.7073,0.6714,0.6264,0.6178,0.6795,0.7073,0.6889,0.66827
18,0.7003,0.71,0.5622,0.704,0.6677,0.6237,0.6155,0.6781,0.7059,0.6856,0.6653
19,0.696,0.7045,0.5602,0.702,0.6659,0.6214,0.6135,0.6775,0.7041,0.6828,0.66279
20,0.6879,0.7025,0.5593,0.6998,0.6633,0.62,0.6118,0.6768,0.7011,0.6804,0.66029
21,0.6834,0.6991,0.558,0.6983,0.6619,0.6189,0.6107,0.6763,0.6997,0.6788,0.6585099999999999
22,0.6793,0.697,0.5575,0.697,0.6601,0.6182,0.6097,0.6759,0.6987,0.677,0.65704
23,0.6767,0.6947,0.5569,0.6961,0.6592,0.6174,0.6089,0.6756,0.6971,0.6761,0.65587
24,0.6743,0.6928,0.5564,0.6953,0.6584,0.617,0.6083,0.6753,0.6962,0.6753,0.65493
25,0.6715,0.6912,0.556,0.6947,0.6577,0.6165,0.6078,0.6752,0.6956,0.6745,0.65407

HL10
Epoch,Run 1,Run 6,Run 7,Run 9,Run 12,Run 13,Run 15,Run 17,Run 19,Run 20,Mean
1,1.5242,1.1953,1.1059,1.131,1.4734,1.2893,1.2093,1.28,1.0792,1.0272,1.2314800000000001
2,1.009,1.152,0.9999,1.131,1.253,1.2804,1.0777,1.1565,1.0792,1.0272,1.11659
3,1.0033,1.0225,0.8526,1.131,1.253,0.9193,0.9841,1.1565,1.0011,1.0129,1.03363
4,0.9548,0.9338,0.8526,1.131,1.171,0.9193,0.9204,1.0664,0.9325,0.9934,0.9875199999999997
5,0.7927,0.864,0.8526,1.1074,1.0348,0.877,0.8772,1.0204,0.8846,0.9886,0.92993
6,0.7673,0.7643,0.8526,1.0282,0.9443,0.8549,0.7885,0.8942,0.8461,0.8571,0.85975
7,0.7384,0.7113,0.797,0.9956,0.907,0.8232,0.7719,0.8377,0.8042,0.8315,0.8217800000000001
8,0.6841,0.6732,0.7756,0.8773,0.8398,0.7829,0.7572,0.8158,0.7905,0.7846,0.7781
