PSO-NN - Parameter Data

PAR1
Epoch,Run 4,Run 5,Run 7,Run 9,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Mean
1,1.1745,1.3085,1.0247,1.0889,1.1172,0.9427,1.0053,1.2961,1.1157,1.4782,1.15518
2,1.006,0.9708,0.9987,1.0889,0.9797,0.9427,0.9322,1.0438,0.8893,1.1287,0.9980800000000001
3,1.0031,0.8755,0.9584,1.0256,0.881,0.9427,0.8926,0.9341,0.7989,1.1287,0.94406
4,0.9046,0.7926,0.9366,0.9795,0.881,0.9154,0.8374,0.8602,0.7916,0.9896,0.88885
5,0.8691,0.7752,0.8556,0.8974,0.8678,0.8706,0.797,0.8602,0.7785,0.8824,0.8453799999999999
6,0.8377,0.752,0.8501,0.887,0.8551,0.843,0.793,0.8465,0.7568,0.8403,0.8261500000000002
7,0.8083,0.713,0.8006,0.861,0.8358,0.8319,0.7755,0.8358,0.7444,0.7856,0.79919
8,0.7901,0.6909,0.7902,0.8119,0.8303,0.8285,0.77,0.827,0.7351,0.7681,0.7842100000000001
9,0.7706,0.6795,0.7827,0.8043,0.8241,0.8222,0.7645,0.8221,0.7281,0.7567,0.77548
10,0.7623,0.6697,0.7751,0.793,0.8163,0.8179,0.7552,0.816,0.7232,0.7444,0.7673099999999999
11,0.7605,0.6649,0.7703,0.7887,0.8098,0.8151,0.7516,0.8128,0.7193,0.7302,0.7623200000000001
12,0.756,0.6616,0.7666,0.78,0.8067,0.813,0.7476,0.8115,0.7169,0.7284,0.7588299999999999
13,0.7503,0.658,0.765,0.7764,0.8037,0.8103,0.745,0.8094,0.7137,0.7263,0.7558100000000001
14,0.747,0.6557,0.7634,0.7742,0.8021,0.8096,0.7426,0.8081,0.7118,0.7232,0.75377
15,0.7463,0.6539,0.7626,0.7718,0.8008,0.8086,0.7417,0.8071,0.711,0.7222,0.7525999999999999
16,0.7444,0.6526,0.762,0.77,0.7996,0.8076,0.7406,0.8067,0.71,0.7211,0.7514599999999999
17,0.7437,0.6513,0.7616,0.769,0.7991,0.8071,0.7403,0.8062,0.709,0.7201,0.7507400000000001
18,0.7429,0.6508,0.7614,0.768,0.7988,0.8069,0.7399,0.8058,0.7083,0.7196,0.75024
19,0.7425,0.6499,0.7612,0.767,0.7986,0.8066,0.7396,0.8056,0.7077,0.7193,0.7497999999999999
20,0.742,0.6496,0.761,0.7668,0.7983,0.8066,0.7395,0.8055,0.7072,0.719,0.74955
21,0.7419,0.6491,0.761,0.7663,0.7982,0.8064,0.7393,0.8054,0.7071,0.7189,0.74936
22,0.7418,0.649,0.7609,0.7661,0.7981,0.8063,0.7393,0.8053,0.7069,0.7188,0.7492500000000001
23,0.7417,0.6487,0.7608,0.7659,0.798,0.8062,0.7392,0.8053,0.7067,0.7187,0.7491199999999999
24,0.7416,0.6486,0.7608,0.7658,0.798,0.8062,0.7392,0.8052,0.7066,0.7186,0.7490600000000001
25,0.7416,0.6485,0.7608,0.7657,0.7979,0.8061,0.7391,0.8052,0.7065,0.7186,0.749

PAR2
Epoch,Run 2,Run 4,Run 6,Run 7,Run 8,Run 11,Run 13,Run 14,Run 17,Run 20,Mean
1,1.0134,1.0505,1.0924,1.254,1.0753,1.2786,1.492,1.4323,1.3067,1.172,1.21672
2,1.0134,1.0446,1.0924,1.1213,1.0753,1.2786,1.145,1.4323,1.2437,1.172,1.1618600000000001
3,1.0134,1.0446,1.0924,0.9965,1.0753,1.2786,1.0696,1.3096,0.9145,1.0382,1.0832700000000002
4,1.0134,1.011,1.0463,0.9833,1.0753,1.2318,0.9986,1.1123,0.903,1.0274,1.0402400000000003
5,0.961,0.9632,0.8965,0.8853,0.8855,0.8746,0.9264,1.0196,0.8782,0.8987,0.9189
6,0.8416,0.8305,0.852,0.8853,0.8848,0.8613,0.8731,0.9478,0.793,0.8667,0.8636100000000001
