PSO-NN - Swarm Size Data

SS010
Epoch,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 10,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 26,Run 27,Run 29,Run 30,Mean
1,1.1912,1.3078,1.1271,1.081,1.0576,1.1898,1.2199,0.9768,1.0183,1.0173,0.9583,1.1331,1.3195,1.6112,0.9875,1.2773,1.2639,1.5035,1.2488,1.4896,1.2303,1.3048,1.1883,1.2044739130434783
2,1.1857,1.0677,1.1271,1.081,1.0576,1.1619,1.2199,0.9768,1.0183,1.016,0.9583,1.1331,1.249,1.5189,0.9875,1.2773,1.2533,1.5035,1.1591,1.3852,1.2303,1.1136,1.1099,1.1648260869565215
3,1.1857,1.0474,1.1271,1.081,0.9884,1.0122,1.2199,0.9768,1.0183,0.9462,0.9583,0.8999,1.1307,1.296,0.9875,1.2773,1.2403,1.5035,1.0283,1.3852,1.1844,1.1136,1.1099,1.1181695652173915
4,1.11,1.0112,1.1271,1.0166,0.9395,0.9867,1.2199,0.9523,1.0183,0.9407,0.9583,0.8999,1.1307,1.2774,0.9875,1.1721,1.2238,1.5035,0.9687,1.3852,1.0925,1.1136,1.1099,1.0932782608695653
5,1.0029,1.011,1.0667,0.9886,0.8959,0.9404,0.9721,0.8722,0.9834,0.8355,0.9583,0.8999,1.1281,1.0651,0.9576,1.0974,1.2008,1.1538,0.9687,1.1074,1.0901,1.1136,1.1099,1.0182347826086957
6,0.9576,1.011,1.0218,0.9886,0.8487,0.9404,0.887,0.8722,0.9569,0.8355,0.947,0.8999,1.0938,1.0226,0.937,1.0974,1.1506,1.0826,0.9687,1.1074,0.9861,1.072,1.1099,0.991073913043478
7,0.9576,1.011,1.0218,0.9886,0.8487,0.9404,0.887,0.8653,0.9477,0.8355,0.9179,0.8999,0.9425,0.9975,0.9167,1.0801,1.0942,0.9875,0.9687,1.1074,0.9759,0.9847,1.0673,0.9671260869565216
8,0.9357,0.986,1.0002,0.9555,0.8487,0.939,0.887,0.8637,0.9475,0.83,0.9179,0.8866,0.9425,0.9928,0.8699,1.0625,1.0482,0.9875,0.9682,1.1074,0.9013,0.9807,1.0369,0.9519869565217389
9,0.8668,0.9764,0.9615,0.9535,0.8487,0.9375,0.8802,0.8127,0.9386,0.8229,0.8814,0.8838,0.9425,0.9759,0.8699,1.0577,1.0228,0.9228,0.9682,1.1074,0.8631,0.9649,1.0328,0.9344347826086955
10,0.8394,0.9272,0.934,0.9511,0.8487,0.9259,0.8591,0.8127,0.9125,0.8203,0.8814,0.8801,0.911,0.9628,0.8699,0.989,0.9794,0.9228,0.9477,1.0478,0.8631,0.9649,0.9707,0.9139782608695652
